Quote,Author
"The purpose of a human life is to bring the irrational beginning of our life to a rational beginning. In order to succeed in this, two things are important: (1) to see all irrational, unwise things in life and direct your attention to them and study them; (2) to understand the possibility of a rational, wise life. The major purpose of all teachers of mankind was the understanding of the irrational and rational beginnings in our life.",Leo Tolstoy
"Accept the teaching of Christ as it is, clear and simple; then you will see that we live among big lies.",Leo Tolstoy
"Live for your soul, and without trying or even understanding that you’re doing it, you will contribute to the improvement of society.",Leo Tolstoy
"It would be nice if wisdom had such a quality that it could flow from one man who is full of wisdom to another man who has no wisdom, just as with two connected vessels water flows from one vessel to the other until the water level is the same in both of them. The problem is that to obtain wisdom, you must make an independent, serious effort of your own.",Leo Tolstoy
"Improve your own soul, and be confident that only in so doing can you contribute to the improvement of the larger society of which you are part.",Leo Tolstoy
A scholar knows many books; a well-educated person has knowledge and skills; an enlightened person understands the meaning and purpose of his life.,Leo Tolstoy
"There are a limitless number of different sciences, but without one basic science, that is, what is the meaning of life and what is good for the people, all other forms of knowledge and art become idle and harmful entertainment.",Leo Tolstoy
"We live a senseless life, contrary to the understanding of life by the wisest people of all times. This happens because our young generations are educated in the wrong way—they are taught different sciences but they are not taught the meaning of life.",Leo Tolstoy
The only real science is the knowledge of how a person should live his life. And this knowledge is open to everyone.,Leo Tolstoy
Society can be improved only by self-sacrifice.,Leo Tolstoy
"There is only one law, both in your personal and social life: if you want to improve your soul, you should be ready to sacrifice it.",Leo Tolstoy
"The improvement of man can be measured by the level of his inner freedom. The more a person becomes free from his personality, the more freedom he has.",Leo Tolstoy
"Death and birth are two limits, and something similar is hidden behind each.",Leo Tolstoy
"When you think about what will happen to your soul after death, think also about what happened to your soul before your birth. If you plan to go somewhere, then you came from somewhere.",Leo Tolstoy
"Where do we go after death? We go to where we came from. There is nothing which can be called ourselves in that land; therefore, we do not remember what has happened to us there.",Leo Tolstoy
"When a person leads a good life, he is happy at the present moment and he does not think what will happen after this life. If he thinks of death, he looks at how well this life is laid out, and he believes that after death everything will be as good as it is now. It is much better to believe that everything which God makes for us is good than to believe in all the pleasures of paradise.",Leo Tolstoy
A person should not think too much about what will happen after his life. Follow the will of those who sent us into this world; that will is in our minds and our hearts.,Leo Tolstoy
"The more closely a person follows his intellect and controls his passions, the closer he comes to spiritual life, to love of God and of his neighbor.",Leo Tolstoy
"We would think a man insane who, instead of covering his house with a roof and putting windows in his window frames, goes out in stormy weather, and scolds the wind, the rain, and the clouds. But we all do the same when we scold and blame the evil in other people instead of fighting the evil which exists in us. It is possible to get rid of the evil inside of us, as it is possible to make a roof and windows for our house. This is possible. But it is not possible for us to destroy evil in this world, just as we cannot order the weather to change and the clouds to disappear. If, instead of teaching others, we would educate and improve ourselves, then there would be less evil in this world, and all people would live better lives.",Leo Tolstoy
"It seems to us that the most important work in the world is the work which is visible, which we can see: building a house, plowing the land, feeding cattle, gathering fruits; and that the work which is invisible, the work done by our soul, is not important. But our invisible work at the improvement of our soul is the most important work in the world, and all other visible kinds of work are useful only when we do this major work.",Leo Tolstoy
No exceptions or special circumstances can justify the murder of a living person. Murder is the most vulgar violation of the Law of God as it is expressed in all religious teachings and in all people’s conscience.,Leo Tolstoy
"Military service makes people corrupt, because the military, in time of peace, abides in complete idleness; they lack any useful labor, they are freed of the obligations of such work. Instead, they create notions of honor of regiment, or of banner, or the complete subjugation of one person by another.",Leo Tolstoy
"When civilians get into these circumstances, they become ashamed of such a way of life. The military, on the contrary, are proud of it and boast of this way of life, especially during periods of war. They say: “We are ready to risk our lives at war, and therefore such a careless joyful life is necessary for us, and we have the right to lead it.”",Leo Tolstoy
"The same divine beginning lives in all people, and no single person or gathering of people has the right to destroy this connection between the divine beginning and a human body, that is, to take a human life.",Leo Tolstoy
"Among all sins, there is one which completely opposes the major blessing of human life, which is your love for your brother: there is no worse sin than to destroy this major joy of life, by feeling rage and hatred for your brother.",Leo Tolstoy
"Seneca, a wise man from Rome, said that when you want to escape from your rage, when you feel that it grows, the best thing to do is to stop. Do not do anything: do not walk, do not move, do not speak. If your body or your tongue moves at this moment, then your rage will grow.",Leo Tolstoy
"Rage is very harmful for all people, but it is most harmful for the man who experiences it.",Leo Tolstoy
Your rage cannot be justified by anything. The reason for your rage is always inside you.,Leo Tolstoy
"Nobody knows where the human race is going. The highest wisdom, then, is to know whereyoushould go: toward perfection.",Leo Tolstoy
"Your actions should be determined not by the desire of the people around you, but by the needs of all mankind.",Leo Tolstoy
"There is a basic knowledge which is necessary for every human being; until a person has acquired this basic knowledge, all other kinds of knowledge will be harmful for him.",Leo Tolstoy
"It is better to know several basic rules of life than to study many unnecessary sciences. The major rules of life will stop you from evil and show you the good path in life; but the knowledge of many unnecessary sciences may lead you into the temptation of pride, and stop you from understanding the basic rules of life.",Leo Tolstoy
"A rich man cannot be merciful. If he becomes really merciful, he will quickly lose his riches.",Leo Tolstoy
The best example of the cruelty of the rich man’s life is his effort to become virtuous.,Leo Tolstoy
"In order to love not with word and tongue, but in deed and truth, everyone should help those who ask for help, so Christ said.",Leo Tolstoy
"But if you start giving to all those who ask, even if you are very rich, very soon you will not be rich anymore.",Leo Tolstoy
"Love for other people gives a real feeling of good, and it unites you with other people and with God.",Leo Tolstoy
A wise man loves not because he wants to profit from it but because he finds bliss in love itself.,Leo Tolstoy
"They asked a Chinese man, “What is science?” He said, “Science is knowing people.” Then they asked, “And what is virtue?” He answered, “Virtue is loving people.”",Leo Tolstoy
"Just as a mother puts her life at risk to guard and save her only child, so every person should guard and save in himself love for every living being.",Leo Tolstoy
"The fearlessness, calm, inner peace, and joy which are given to us by love are so big that all other things in the world cannot be compared with them, especially for the person who understands the real blessing of love.",Leo Tolstoy
"For a person to know the law that makes him free, he must be elevated from a material to a spiritual life.",Leo Tolstoy
"“I and God are the same,” said the teacher. If you think that my spiritual being is God, you are mistaken. But my real self is close to God, and to other people. In order to understand this part of myself, you should elevate the man inside of you. When you elevate the man inside of you, then you will see that there is no difference between him and any other person on earth.",Leo Tolstoy
"It only seems as if we differ from each other. A flower on a blossoming tree can think that it is a separate being, but all flowers are parts of the same blossoming of one apple tree, and they all come from one seed.",Leo Tolstoy
Submission to the law created by men makes one a slave; obedience to the law created by God makes one free.,Leo Tolstoy
"Wisdom is knowing the purpose of life, and knowing how to achieve it.",Leo Tolstoy
There is nothing in which real wisdom cannot be displayed.,Leo Tolstoy
"When people wanted to kill a bear in the ancient times, they hung a heavy log over a bowl of honey. The bear would push the log away in order to eat the honey. The log would swing back and hit the bear. The bear would become irritated and push the log even harder, and it would return and hit him harder in return. This would continue until the log killed the bear. People behave in the same way when they return evil for the evil they receive from other people. Can’t people be wiser than bears?",Leo Tolstoy
"You should respond with kindness toward evil done to you, and you will destroy in an evil person that pleasure which he derives from evil.",Leo Tolstoy
The true teaching of love is strong; it kills evil before evil can grow and become powerful.,Leo Tolstoy
"Only greatly insolent people establish a religious law which is to be taken for granted by others, which should be accepted by everyone on faith, without any discussion or doubts.",Leo Tolstoy
Why must people do this?,Leo Tolstoy
"The essence of the teaching of Christ is to follow his commandments. Those who just repeat, “My God, My Lord” will not get to heaven; only those who fulfill God’s will.",Leo Tolstoy
It is not possible to explain the origin of the spiritual from the material.,Leo Tolstoy
"The difference between the spiritual realm and the material is equally clear and obvious, both for a child and a wise man; further speculations are not necessary.",Leo Tolstoy
"There are two different states of human existence: first, to live without thinking of death; second, to live with the thought that you approach death with every hour of your life.",Leo Tolstoy
"The more you transform your life from the material to the spiritual domain, the less you become afraid of death. A person who lives a truly spiritual life has no fear of death.",Leo Tolstoy
"When you have doubts about what to do, just imagine that you might die at the end of that same day, and then all your doubts will disappear, and you will see clearly what your conscience tells you, and what is your true personal wish.",Leo Tolstoy
"A man condemned to immediate execution will not think about the growth of his estate, or about achieving glory, or about the victory of one group over another, or about the discovery of a new planet. But one minute before his death a man may wish to console an abused person, or help an old person to stand up, or to put a bandage on someone’s injury, or to repair a toy for a child.",Leo Tolstoy
Kindness is for your soul as health is for your body: you do not notice it when you have it.,Leo Tolstoy
"Love is real only when a person can sacrifice himself for another person. Only when a person forgets himself for the sake of another, and lives for another creature, only this kind of love can be called true love, and only in this love do we see the blessing and reward of life. This is the foundation of the world.",Leo Tolstoy
"Nothing can make our life, or the lives of other people, more beautiful than perpetual kindness.",Leo Tolstoy
"A man is free only when he lives in truth, and the truth may be perceived only by the intellect.",Leo Tolstoy
"We are not free in this world, subdued by our passions and by the emotions of other people to the degree that we forget the requirements of our intellects. If we really want to become free, we can be so only through our intellect.",Leo Tolstoy
"All events, whether in the lives of human individuals, or human societies, have their beginnings in thought. Therefore, to fully understand other people and other societies, we must look beyond previous events to the thoughts which gave rise to them.",Leo Tolstoy
Perhaps it is even more important to know what one should not think about than what one should think about.,Leo Tolstoy
"A thought seems to be free and independent, but a human being has something stronger than thought, something which could guide our thoughts.",Leo Tolstoy
"In order to change the nature of things, either within yourself or in others, one should change, not the events, but those thoughts which created those events.",Leo Tolstoy
"Sexual desire is the most all-consuming of desires. This desire is never sated, for the more it is satisfied, the more it grows.",Leo Tolstoy
"Very often people are made proud by their control over their own desires, and by the force and passion with which they master them. What a strange delusion!",Leo Tolstoy
"Many people worry, and suffer, because they have been involved in so many bad things in their lives. In truth, though, good things often happen in spite of our wishes, and sometimes even in opposition to our wishes, and often after our excitement and suffering over unworthy things.",Leo Tolstoy
Remember how passionately you yearned in the past for many of the things which you hate or despise now.,Leo Tolstoy
"Remember how many things you lost trying to satisfy your former desires. The same thing could happen now, with the desires which excite you at present. Try to tame your present desires, calm them; this is most beneficial, and most achievable.",Leo Tolstoy
"Perfecting the self is both an inner and an outer work: You cannot improve yourself without communicating with other people, influencing them, and being influenced by them.",Leo Tolstoy
"“Be perfect, as your heavenly Father,” Christ said. This does not mean that Christ asked people to be as good as God; only that everyone should strive for perfection.",Leo Tolstoy
"There is nothing more harmful to you than improving only your material, animal side of life. There is nothing more beneficial, both for you and for others, than activity directed to the improvement of your soul.",Leo Tolstoy
Why do people like to blame others so much? He who casts blame on another person is quick to think that he would not do the very same thing. It is the same with people who like to listen to the fault-finding of their neighbors.,Leo Tolstoy
"When two people have a dispute, both are to blame. And therefore, a dispute will stop only when at least one person understands that he or she is guilty.",Leo Tolstoy
"Stop blaming other people, and you will feel what an alcoholic feels when he stops drinking, or what a smoker feels when he stops smoking. You will feel that you have brought relief to your soul.",Leo Tolstoy
"The material evil caused by war is big, but it is incomparably small in comparison with the perversion or the understanding of good and bad which happens during the war, and which is put into the souls of people who do not think.",Leo Tolstoy
"A child meets another child with a smile, displaying his friendly attitude and joy. This same behavior lives in all sincere people. But very often, a man from one nation already hates a man from another nation, and is ready to cause him sufferings and even death, even before he meets him. Those who create these feelings in nations commit a terrible crime!",Leo Tolstoy
War creates a state in which power and glory is at the end too often received by the most undeserving and vicious people.,Leo Tolstoy
"The higher the opinion a person has of himself, the more unstable is his position; the lower he moves in his selfesteem, the firmer he stands.",Leo Tolstoy
"Try to find out your potential. After you know it, do not be afraid to underestimate it. Be cautious not to exaggerate it.",Leo Tolstoy
A person’s life is good only to the extent that it fulfills the expectations of the will of God.,Leo Tolstoy
"Evil, in the form of suffering and death, is everywhere apparent to a person who accepts the law of his material, animal existence as the major law of his life. Only when a man lowers himself to the state of an animal does death and suffering scare him. The only road open for him to escape that fear is the road of fulfillment of the law of God, the law which is expressed in love. There is no death and no suffering for a man who lives according to the law of God.",Leo Tolstoy
"We know the law of God, both as it is presented to us by the different religions of the world and as our own conscience, when it is not obscured by passion and prejudice, and we can easily understand the applications of this law to our life, for all real good stems from its requirements.",Leo Tolstoy
It is obvious for everyone that death expects us all in the long run; but nevertheless we live our lives as if there will be no death.,Leo Tolstoy
"The more deeply you understand life, the less you grieve over the destruction caused by death.",Leo Tolstoy
,Leo Tolstoy
Religion is a philosophy which can be understood by anyone.,Leo Tolstoy
Religion is simple wisdom which is directed to the heart and understood by the intellect.,Leo Tolstoy
"Religion can enlighten philosophical meditations; philosophical meditations can strengthen religion. Therefore, try to communicate both with truly religious people and truly good philosophers, alive and dead.",Leo Tolstoy
A holy spirit lives within you.,Leo Tolstoy
"God lives in every one of us. When a person remembers this, the thought of it can save him from evil, and help him to do good.",Leo Tolstoy
"There is simplicity of nature, and there is simplicity of wisdom. Both of them evoke love and respect.",Leo Tolstoy
The greatest truth is the most simple one.,Leo Tolstoy
"When people speak in a very elaborate and sophisticated way, they either want to tell a lie, or to admire themselves. You should not believe such people. Good speech is always clear, clever, and understood by all.",Leo Tolstoy
"Words can unite people. Therefore, try to speak very clearly, and tell only the truth, for nothing can unite people more than truth and simplicity.",Leo Tolstoy
"The younger and the more primitive a person is, the more he or she believes that life is material and that it exists only in the body. The older and wiser a person becomes, the more he or she understands that all life originates from the spirit.",Leo Tolstoy
"A person can understand his real destination in life only after he manages to liberate himself from the sensual, material world.",Leo Tolstoy
All people of the world have an equal right to the privileges of this world.,Leo Tolstoy
"Equality cannot be reached, as some people think, only by civil measures. It can be reached only by love of God and people, and this love can be reached, not by civil measures, but only as the result of spiritual learning.",Leo Tolstoy
"They say that equality is not possible, because some people will always be stronger or smarter than others. But it is exactly because of this, said Lichtenberg, precisely because some people are stronger and smarter than others, that the principle of equality is necessary. The advantages of the rich over the poor demonstrate not only inequality of force and intellect, but inequality of civil rights.",Leo Tolstoy
"Christ revealed to humanity those things which their best selves already knew: that people are equal because the same spirit lives in all of them…. Learn from the small children, behave like children, and treat all people on an equal basis, with love and tenderness.",Leo Tolstoy
"Personality is a mask which disguises the divine being which lives in every person. The more one rejects personality, the more this divine beginning is manifested.",Leo Tolstoy
"Only when we forget about ourselves, when we get out of the thoughts of ourselves, can we fruitfully communicate with others, listen to them, and influence them.",Leo Tolstoy
"It is a sin not to be engaged in work, even if it is not necessary for you to make your living with everyday work.",Leo Tolstoy
"Nothing can make a person feel more noble than work. Without work, a person cannot have human dignity. It is because of this that idle people are so much concerned by the superficial, outer expression of their importance; they know that without this, other people would despise them.",Leo Tolstoy
"When we accept truth and repent our sins, we understand that nobody can have special rights, advantages, or privileges in this life. There is no end or limit to our duties and obligations. And the first and the most important obligation for us is to fight with nature for our life and for the lives of other people.",Leo Tolstoy
"Humankind goes on without stopping. This movement forward is necessary for you as an individual as well. If you want to serve God, you should be a worker for the spiritual progress of humanity.",Leo Tolstoy
"The way of life of any people depends on their faith. Faith, with time, becomes more simple, more clear, and closer to the real truth, and in accordance with the simplifying and clarifying of faith, people become more and more united.",Leo Tolstoy
"Mankind makes progress when its faith progresses. And if there is any progress in religion, it is not in the discovery of something new, but in the purifying of the truths which have been revealed and explained to us.",Leo Tolstoy
"We should not substitute real religious progress with other types of progress: technical, scholarly, and artistic. These technical, scholarly, and artistic achievements can certainly coexist with religious backwardness, as happens in our time.",Leo Tolstoy
"If you want to serve God, you should work on the side of religious progress in the fight against prejudice, toward a better understanding of the clear and pure religion.",Leo Tolstoy
"There was a time when people ate each other. They no longer do so, but they still eat animals. The time will come when more and more people will drop this terrible habit.",Leo Tolstoy
"The killing and eating of animals is a prejudice accepted by those who think that animals were given to people by God to eat, so that there is nothing wrong in killing them. This is not true. It may be written in some books that it is not a sin to kill an animal, but it is written in our own hearts more clearly than in any books—that we should take pity on animals in the same way as we do on each other. And we all know this, if we do not deaden the voice of our conscience inside of us.",Leo Tolstoy
,Leo Tolstoy
The existing design of life corresponds neither to the requirements of conscience nor to the requirements of intellect.,Leo Tolstoy
People are rational creatures. Why do they seem capable of using violence so much more easily than reason in their interactions with each other?,Leo Tolstoy
"For a truth to be heard, it must be spoken with kindness. Truth is kind only when it is spoken through your heart with sincerity. You should know that when a message you convey to another person is not understood by him, at least one of the following things is true: what you have said is not true, or you have conveyed it without kindness.",Leo Tolstoy
"To tell the truth is the same as to be a good tailor, or to be a good farmer, or to write beautifully. To be good at any activity requires practice: no matter how hard you try, you cannot do naturally what you have not done repeatedly. In order to get accustomed to speaking the truth, you should tell only the truth, even in the smallest of things.",Leo Tolstoy
"Truth cannot make a person unkind, or too self-assured; the manifestations of truth telling are humility and simplicity.",Leo Tolstoy
"To pray is to accept and to remember the laws of the limitless being, God, and to measure all your deeds—past, present, and future—according to His laws.",Leo Tolstoy
"From the ancient times, it has been known that prayer is a human necessity.",Leo Tolstoy
"People use different rituals during prayer, special addresses in special circumstances, in special places, in the ways they present their message to God and ask Him to be kind.",Leo Tolstoy
"But let there be this constant: during a prayer, forget about all external worldly things and address the divine part of your soul. Use this divine part to gain communication with that of which it is a part and when you feel yourself close to God, you deliver your soul to Him, and show Him all your deeds and wishes. Prayer does not happen according to the requirements of the world, but according to the divine part of your soul.",Leo Tolstoy
"After a long conversation, stop and try to remember what you have just discussed. Don’t be surprised if many things, sometimes even everything you have discussed, were meaningless, empty, and trivial, and sometimes even bad.",Leo Tolstoy
"For every time you regret that you did not say something, you will regret a hundred times that you did not keep your silence.",Leo Tolstoy
"If you want to be a clever person, you have to learn how to ask cleverly, how to listen attentively, how to respond quietly, and how to stop talking when there is nothing more to say.",Leo Tolstoy
"If you have time to think before you start talking, think, Is it necessary to speak? Will what I have to say harm anyone?",Leo Tolstoy
A charity is only then a real charity when it involves sacrifice.,Leo Tolstoy
"In money—in the money itself, in its acquisition, in its possession—there is something immoral.",Leo Tolstoy
,Leo Tolstoy
Art is one of the means of unifying people.,Leo Tolstoy
"It is possible to imagine that art could die, but it is not possible to imagine that real art could live if it became a slave of wealth that laughed at the poor.",Leo Tolstoy
"Art is one of the most powerful means of convincing people of anything, both good and bad; therefore, you must be very careful in its use.",Leo Tolstoy
"Meditations or discussions about art are the most useless pastimes known. Those who really know art know that art can speak well with its own language, and that to speak about art with words is useless. Most people who speak about art do not understand or feel real art.",Leo Tolstoy
"To move, you must know where to go, in terms both of everyday motion and of your whole life. In order to live a good life, you must know where life leads.",Leo Tolstoy
We should believe that the goodness which exists in us and in this world will be fulfilled. This is the major condition to make it happen.,Leo Tolstoy
The fear of death in man is the understanding of his sins.,Leo Tolstoy
"The more spiritual a life a person leads, the less he is afraid of death. For a spiritual person death means setting the spirit free from the body. Such a person knows that the things with which he lives cannot be destroyed.",Leo Tolstoy
Only those who do not live are not afraid of death.,Leo Tolstoy
"If as Socrates said, death is the state in which we abide during our sleep made permanent, we all know this state, and know there is nothing terrible in it. And if death is a transfer to a better life, as many people think, then death is not evil but a blessing.",Leo Tolstoy
"We should get ready for death, because it will come, sooner or later. The best thing to do is to live a good life. If you live a good life, you should not be afraid of death.",Leo Tolstoy
"The more closely a person unites with the will of God, the firmer this person becomes in his actions.",Leo Tolstoy
"The right path in life is very narrow, but it is important to find it. You can understand it, as well as we can understand it, as a walkway of wood built across a swamp; if you step off it, you will plunge into the swamp of misunderstanding and evil. A wise man returns to the true path at once, but a weak man plunges further and further into the swamp, and it becomes more and more difficult for him to get out.",Leo Tolstoy
What reward should a good deed bring you? Only the joy you receive by performing it. And any other reward lessens the feeling of this joy.,Leo Tolstoy
What a joy it is to do a good deed! And this joy is strongest if no one knows that you have done it.,Leo Tolstoy
"Eating to excess is a vice just as bad as many others. We often do not notice it in others, because most of us are subject to it.",Leo Tolstoy
"There are sins against others, and sins against yourself. You commit sins against others when you do not respect God’s spirit in them; you commit sins against yourself when you do not respect God’s spirit in yourself. One of the most common sins against yourself is gluttony.",Leo Tolstoy
"A person who overeats cannot fight laziness; and a lazy man cannot fight sexual dissipation. All spiritual teachings start with restrictions, with control of the appetite.",Leo Tolstoy
"God gave food to people, and the devil gave cooks.",Leo Tolstoy
"Socrates, a wise man, tried to abstain from all unnecessary things. He said that food should serve you in fighting your hunger, and not in developing sophisticated tastes, and he asked his students to follow his rule. He reminded his students about the wise Odysseus, whom Circe, an evil sorceress, could not subject to her magic, because he did not eat to excess. But the members of his crew, his friends, were turned into a herd of pigs by her as soon as they rushed to the abundance of sweet food.",Leo Tolstoy
"Look at your mouth; through it, when you eat to excess, illnesses enter your body. Behave in such a way that when you finish your dinner, you want to eat a little more.",Leo Tolstoy
"Eating to excess is not considered to be a sin by many, because it produces no noticeable harm. But there are sins which destroy human dignity, and eating to excess is one such sin.",Leo Tolstoy
"Just as it’s folly to try to lift yourself into the air, you should not praise yourself too much. When you praise yourself, you produce the opposite effect in others, and appear lower in their eyes.",Leo Tolstoy
He who always listens to what other people say about him will never find inner peace.,Leo Tolstoy
"If you want to preserve your good name, do not praise yourself and do not so much as allow others to praise you.",Leo Tolstoy
"Love of God is love in itself; it is love for the sake of love. This kind of love is the highest blessing. It does not allow the slightest possibility of treating even a single creature without love; if there is even one person whom you do not love, then you lose God’s love and blessing.",Leo Tolstoy
"Love of your neighbor without love of God is a plant without roots. You should love God—this love is a real and firm love. It does not become weaker, only stronger, and it gives good to those who have it.",Leo Tolstoy
"Some say that you should be afraid of God. Not true; you have to love God. How can you love those whom you are afraid of? God is love, and how can you be afraid of love? No, you should not fear God, but love Him. And if you love God, then you will not be afraid of Him, or anything else in the world.",Leo Tolstoy
"Physical work, physical exercise for your body, is a necessary condition of life. A man can force others to do things for him, but he cannot free himself from the necessity of his own physical work. And if a man does not work at necessary and good things, then he will work at unnecessary and stupid things.",Leo Tolstoy
"A European praised the advantages of mechanized labor to a Chinese man: “This invention relieves a man from the need for physical work.” But the Chinese man replied, “Physical work is good. Being relieved from physical work will be an enormous disaster.”",Leo Tolstoy
"Without exercise of their muscles, neither man nor animal can live.",Leo Tolstoy
"So that this exercise may give you joy and satisfaction, do good physical work. This is also the best way to serve others.",Leo Tolstoy
"Prayer is a time to remind yourself of your attitude to limitless things, to God.",Leo Tolstoy
"It is good to pray at the same time each day. If you cannot collect your thoughts, better not to pray, because you should always pray with your heart, not simply repeat words with your tongue.",Leo Tolstoy
"It is good and necessary to pray in solitude, but is also good to pray when you are in the crowd, when you are excited or irritated—to think about your soul and about God.",Leo Tolstoy
Do not think that you can please God with prayer. You will please God by submitting to Him. Prayer is just a reminder for you of who you are and what the purpose of your life is.,Leo Tolstoy
War and Christianity are not compatible.,Leo Tolstoy
"War is one of the worst, most terrible things in this world.",Leo Tolstoy
"War in this world can be stopped not by the ruling establishment, but by those who suffer from the war. They will do the most natural thing: stop obeying orders.",Leo Tolstoy
"The armed world and the wars it wages will be destroyed one day, but not by the kings or the rulers of this world. War is profitable for them. War will stop the moment the people who suffer from war fully understand that it is evil.",Leo Tolstoy
That which gives life is the same in all things.,Leo Tolstoy
"All living creatures have the same divine beginning, all are in unity. We are all members of one great body.",Leo Tolstoy
Expunge from yourself anything which interferes with your feeling of a special connection between yourself and all living creatures.,Leo Tolstoy
"Food is necessary for the life of an individual, and marriage is necessary for the life of humanity. If eating to excess is evil for an individual, then excess in marriage and sexuality creates evil both for individuals and for human society.",Leo Tolstoy
"A marriage is a special obligation between two people, of opposite sexes, to have children only with each other. To break this pact is a lie, a deception, and a crime.",Leo Tolstoy
